scenario,plant_id,controller,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,mean_step_ms,median_step_ms,p95_step_ms,max_step_ms,utilization_pct,benchmark_samples,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
hidden_pole,stable__lhp_zero,32_32 (compact6),0.09212654705813889,2.0,0.0001070813989058756,0.43780202054953016,1.3803798470667397,0.006897654290429044,0.00676320297029703,0.007530029702970296,0.00835230693069307,0.007530029702970297,12,False,False,,,7.0,5.5,6.0,8.0,1.0,5.5,5.5
hidden_pole,stable__lhp_zero,16_16_16 (rich11),0.09307600668590865,2.0,0.0011140128220604312,0.529726388384738,1.4757179331046808,0.007513407590759076,0.007718851485148516,0.007899630198019801,0.007950910891089109,0.007899630198019801,12,False,False,,,9.0,5.5,9.0,9.0,5.0,5.5,7.166666666666667
hidden_pole,stable__lhp_zero,16_16_16 (compact6),0.09318127285241737,2.0,0.00012797323688747543,0.24069276943310797,1.4569670814364073,0.0070488853135313514,0.007255361386138614,0.007890592574257425,0.0081320099009901,0.007890592574257425,12,False,False,,,10.0,5.5,8.0,4.0,4.0,5.5,6.166666666666667
hidden_pole,stable__lhp_zero,32_32_32 (rich11),0.09034289929521276,2.0,5.169308825200493e-05,0.40324231526589205,1.48471777233912,0.008573396864686469,0.008526608910891088,0.008751239108910892,0.008787544554455446,0.008751239108910892,12,False,False,,,2.0,5.5,5.0,7.0,6.0,5.5,5.166666666666667
hidden_pole,stable__lhp_zero,32_32_32 (compact6),0.09142396063541797,2.0,1.4835037157839881e-05,0.2881673277880552,1.4504564537569586,0.008498072607260725,0.008367158415841585,0.009370579207920792,0.009995455445544555,0.009370579207920792,12,False,False,,,6.0,5.5,4.0,5.0,3.0,5.5,4.833333333333333
nominal,stable__rhp_zero,MPC,0.417943582210278,2.775485675179767,1.0415700184023514e-08,0.05899722479484954,1.6196572020302775,0.020278807755775577,0.01990779207920792,0.021802971782178215,0.023108089108910893,0.021802971782178212,12,False,False,,,1.0,10.0,1.0,1.0,10.0,5.5,4.75
nominal,stable__rhp_zero,RL (PID-features),0.4261600455962214,2.6504200988401383,0.00020172687438795055,0.36115996731527433,1.3347556363928674,0.002384797854785478,0.002301980198019802,0.0028273905940594058,0.0030152673267326733,0.0028273905940594058,12,False,False,,,7.0,8.0,2.0,2.0,2.0,5.5,4.416666666666667
nominal,stable__rhp_zero,16_16 (rich11),0.43079605798919723,2.572583071433663,0.04752445181266217,0.9345100511050757,1.3707846349044948,0.006061845709570957,0.006083539603960396,0.007607382673267325,0.00859529702970297,0.007607382673267324,12,False,False,,,9.0,2.0,9.0,8.0,3.0,5.5,6.083333333333333
nominal,stable__rhp_zero,16_16 (compact6),0.4340518297255106,2.5651909188509343,0.03597800421902736,0.8990401076655447,1.2605686051856473,0.006280045379537955,0.006293524752475247,0.006978872772277227,0.007156762376237623,0.006978872772277227,12,False,False,,,10.0,1.0,8.0,3.0,1.0,5.5,4.75
nominal,stable__rhp_zero,32_32 (rich11),0.4258964965232771,2.6379090578729256,0.02748303916310248,0.9302938131237609,1.3853884543883335,0.007143976072607261,0.006945341584158416,0.007882893564356435,0.008038772277227723,0.007882893564356435,12,False,False,,,6.0,7.0,6.0,6.0,5.0,5.5,5.916666666666667
nominal,stable__rhp_zero,32_32 (compact6),0.4250543103408897,2.6070221289646387,0.03564333695617039,0.9469423092195626,1.4316938340585894,0.00694798597359736,0.006750415841584159,0.007702354455445545,0.007795386138613861,0.007702354455445545,12,False,False,,,4.0,4.0,7.0,10.0,7.0,5.5,6.25
nominal,stable__rhp_zero,16_16_16 (rich11),0.42347161658749305,2.608854852096428,0.01289234598605134,0.8990670743859167,1.4483098288789347,0.00783446782178218,0.007714930693069307,0.008568089603960395,0.00880610891089109,0.008568089603960395,12,False,False,,,3.0,6.0,4.0,4.0,9.0,5.5,5.25
nominal,stable__rhp_zero,16_16_16 (compact6),0.42927713389902655,2.5884525179867413,0.04772031503939218,0.9328782195811611,1.379491133851722,0.007126203795379537,0.007402430693069307,0.007754727227722772,0.007972772277227723,0.0077547272277227715,12,False,False,,,8.0,3.0,10.0,7.0,4.0,5.5,6.25
nominal,stable__rhp_zero,32_32_32 (rich11),0.42159005166979086,2.6610227387634913,0.003468565323843829,0.9430854190046727,1.445006337766847,0.008476519801980198,0.008393361386138613,0.008976624752475248,0.009308574257425742,0.008976624752475248,12,False,False,,,2.0,9.0,3.0,9.0,8.0,5.5,6.083333333333333
nominal,stable__rhp_zero,32_32_32 (compact6),0.4255762170695534,2.607771973220948,0.016818157128499947,0.9168412028068531,1.4239073315009245,0.00842010396039604,0.008323227722772277,0.008819138613861386,0.008830029702970298,0.008819138613861386,12,False,False,,,5.0,5.0,5.0,5.0,6.0,5.5,5.25
disturbed,stable__rhp_zero,MPC,0.4268763120709338,2.766440123961287,0.13326217766205767,0.9623113205900518,1.6579935302348818,0.01986640594059406,0.019592613861386138,0.021164375247524753,0.021300742574257427,0.02116437524752475,12,False,False,,,1.0,10.0,10.0,10.0,10.0,5.5,7.75
disturbed,stable__rhp_zero,RL (PID-features),0.4303771227123729,2.662859462046388,0.04353364007745419,0.5862896734274399,1.3810754304078776,0.002212939768976898,0.0021375841584158417,0.0025675524752475243,0.002952138613861386,0.0025675524752475243,12,False,False,,,6.0,8.0,1.0,1.0,3.0,5.5,4.083333333333333
disturbed,stable__rhp_zero,16_16 (rich11),0.4344484544801998,2.569739916073703,0.05850437305686795,0.8329916786452136,1.342130058897059,0.006676498349834983,0.006442658415841584,0.0078826702970297,0.009264019801980198,0.0078826702970297,12,False,False,,,9.0,2.0,4.0,4.0,2.0,5.5,4.416666666666667
disturbed,stable__rhp_zero,16_16 (compact6),0.4373376161974924,2.554273163944732,0.054606515270191565,0.8847798748624423,1.2908912159170898,0.006317657590759077,0.0062660891089108915,0.006920793564356435,0.007583336633663366,0.006920793564356435,12,False,False,,,10.0,1.0,3.0,6.0,1.0,5.5,4.416666666666667
